総合NO,弾NO,販売日,呼称,略称,コレクションナンバー,大分類,小分類,カード名,レアリティ,A,B
1,1,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],001/023,ポケモン,草,セレビィV,RR,,
2,2,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],002/023,ポケモン,草,ロゼリア,,,
3,3,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],003/023,ポケモン,草,モンメン,,,
4,4,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],004/023,ポケモン,草,エルフーン,,,
5,5,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],005/023,ポケモン,草,アイアント,,,
6,6,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],006/023,ポケモン,草,サルノリ,R,,
7,7,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],007/023,ポケモン,草,バチンキー,R,,
8,8,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],008/023,ポケモン,草,ゴリランダー,R,,
9,9,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],009/023,ポケモン,草,サッチムシ,,,
10,10,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],010/023,ポケモン,無,カビゴン,,,
11,11,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],011/023,トレーナーズ,グッズ,エネルギー転送,,,
12,12,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],012/023,トレーナーズ,グッズ,きずぐすり,,,
13,13,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],013/023,トレーナーズ,グッズ,クイックボール,,,
14,14,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],014/023,トレーナーズ,グッズ,スーパーボール,,,
15,15,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],015/023,トレーナーズ,グッズ,ポケギア3.0,,,
16,16,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],016/023,トレーナーズ,グッズ,ポケモンいれかえ,,,
17,17,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],017/023,トレーナーズ,グッズ,ポケモンキャッチャー,,,
18,18,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],018/023,トレーナーズ,グッズ,大きなおまもり,,,
19,19,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],019/023,トレーナーズ,サポート,博士の研究 マグノリア博士,,,
20,20,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],020/023,トレーナーズ,サポート,ポケモンごっこ,,,
21,21,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],021/023,トレーナーズ,サポート,ポケモンセンターのお姉さん,,,
22,22,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],022/023,トレーナーズ,サポート,ホップ,,,
23,23,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],023/023,トレーナーズ,サポート,マリィ,,,
24,24,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],-,エネルギー,草,基本草エネルギー,,,
25,25,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],002/023,ポケモン,草,ロゼリア,ミラー仕様,,
26,26,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],003/023,ポケモン,草,モンメン,ミラー仕様,,
27,27,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],004/023,ポケモン,草,エルフーン,ミラー仕様,,
28,28,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],005/023,ポケモン,草,アイアント,ミラー仕様,,
29,29,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],006/023,ポケモン,草,サルノリ,ミラー仕様,,
30,30,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],007/023,ポケモン,草,バチンキー,ミラー仕様,,
31,31,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],008/023,ポケモン,草,ゴリランダー,ミラー仕様,,
32,32,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],009/023,ポケモン,草,サッチムシ,ミラー仕様,,
33,33,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],010/023,ポケモン,無,カビゴン,ミラー仕様,,
34,34,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],011/023,トレーナーズ,グッズ,エネルギー転送,ミラー仕様,,
