No3-,レアリティ,色,名称（上部）,レベル,パワー,特性,遺業能力,収録
1,SR,赤,宮本武蔵,5,4000,特性：剣術,-,第3弾ブースター
2,SR,赤,エリザベス1世,4,2000,,反魂,第3弾ブースター
3,SR,青,エンリケ航海王子,7,5000,,1ドローする。,第3弾ブースター
4,SR,青,吉田松陰,5,2000,特性：思想,1ドローする。,第3弾ブースター
5,SR,緑,徳川光圀,5,4000,,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,第3弾ブースター
6,SR,緑,葛飾応為,7,6000,特性：美術,魔力化,第3弾ブースター
7,SR,黄,曹丕,5,4000,,-,第3弾ブースター
8,SR,黄,ジェーン・オースティン,8,4000,,魔力化,第3弾ブースター
9,SR,紫,土方歳三,6,5000,特性：志願,これを山札の上か下に戻す。,第3弾ブースター
10,SR,紫,武則天,2,1500,,1ドローする。,第3弾ブースター
11,N,赤,ウィリアム・セシル,4,1000,,1ドローする。,第3弾ブースター
12,N,赤,イーライ・ホイットニー,3,2000,,1ドローする。,第3弾ブースター
13,N,赤,平賀源内,2,1000,,1ドローする。,第3弾ブースター
14,N,赤,ジョージ・スチーブンソン,3,3000,,1ドローする。,第3弾ブースター
15,R,赤,淀殿,5,4000,,1ドローする。,第3弾ブースター
16,R,赤,ジョージ・ワシントン,1,500,,-,第3弾ブースター
17,N,赤,大塩平八郎,8,8000,,1ドローする。,第3弾ブースター
18,N,赤,水野忠邦,6,5000,,-,第3弾ブースター
19,R,青,伊達政宗,8,8000,特性：剣術,反魂,第3弾ブースター
20,N,青,バルトロメウ=ディアス,6,3000,,-,第3弾ブースター
21,N,青,木戸孝允,1,1000,特性：思想,1ドローする。,第3弾ブースター
22,R,青,高杉晋作,2,2000,特性：思想,-,第3弾ブースター
23,N,青,トマス・ニューコメン,4,2000,,1ドローする。,第3弾ブースター
24,N,青,アダム・ラクスマン,5,3000,,-,第3弾ブースター
25,N,青,大黒屋光太夫,2,2000,,1ドローする。,第3弾ブースター
26,N,青,ニコライ・レザノフ,1,1000,,-,第3弾ブースター
